config,seed,success_peak,success_final,drop,collapsed,policy_std_start,policy_std_end,std_ratio,runaway_exploration,alias
R145,1,0.0,0.0,0.0,False,0.6065306663513184,0.2983446717262268,0.4918872008912041,False,
R145,2,0.9730000000000001,0.9551666666666667,0.017833333333333368,False,0.6065306663513184,0.3254229724407196,0.5365317707649527,False,
R145,3,0.9719999999999999,0.9497222222222221,0.02227777777777773,False,0.6065306663513184,0.3299872279167175,0.5440569557707743,False,
R145,4,0.0,0.0,0.0,False,0.6065306663513184,0.3052274584770202,0.5032349976847247,False,
R145,5,0.0,0.0,0.0,False,0.6065306663513184,0.3015309870243072,0.49714054664080676,False,
R234,0,0.0,0.0,0.0,False,0.6065306663513184,0.4410261213779449,0.7271291392915178,False,
R234,1,0.0,0.0,0.0,False,0.6065306663513184,0.3975116610527038,0.65538592375551,False,
R234,2,0.0,0.0,0.0,False,0.6065306663513184,0.4670650362968445,0.770060051714365,False,
R234,3,0.0,0.0,0.0,False,0.6065306663513184,0.4459055364131927,0.7351739345606518,False,
R234,4,0.0,0.0,0.0,False,0.6065306663513184,0.4826246201992035,0.7957134683766423,False,
R234,5,0.0,0.0,0.0,False,0.6065306663513184,0.443488597869873,0.7311890766179213,False,
R235,0,0.9799999999999999,0.9699999999999999,0.010000000000000009,False,0.6065306663513184,0.3312979340553283,0.5462179448374864,False,
R235,1,0.975,0.9618888888888889,0.013111111111111073,False,0.6065306663513184,0.2861962914466858,0.47185790813899825,False,
R235,2,0.9629999999999999,0.9526111111111111,0.010388888888888781,False,0.6065306663513184,0.3206642270088196,0.5286859260354076,False,
R235,3,0.969,0.9515555555555556,0.017444444444444374,False,0.6065306663513184,0.3225846886634826,0.5318522319803582,False,
R235,4,0.974,0.952,0.02200000000000002,False,0.6065306663513184,0.3343352675437927,0.5512256611113164,False,
R235,5,0.982,0.9645555555555555,0.017444444444444485,False,0.6065306663513184,0.3076013922691345,0.5071489527801778,False,
R245,0,0.966,0.9606111111111111,0.0053888888888888875,False,0.6065306663513184,0.3284844756126404,0.5415793361095672,False,
R245,1,0.0,0.0,0.0,False,0.6065306663513184,0.2735105156898498,0.4509426000422959,False,
R245,2,0.9640000000000001,0.9369999999999999,0.027000000000000135,False,0.6065306663513184,0.3355875611305237,0.5532903441623224,False,
R245,3,0.967,0.9547222222222221,0.012277777777777832,False,0.6065306663513184,0.3235974907875061,0.5335220603669691,False,
R245,4,0.976,0.9596666666666666,0.016333333333333422,False,0.6065306663513184,0.3218709230422973,0.530675431431296,False,
R245,5,0.9719999999999999,0.9601111111111111,0.011888888888888727,False,0.6065306663513184,0.2952984571456909,0.4868648421721291,False,
R345,0,0.0,0.0,0.0,False,0.6065306663513184,0.2793614268302917,0.4605891215869344,False,
R345,1,0.0,0.0,0.0,False,0.6065306663513184,0.303730309009552,0.5007666155393098,False,
R345,2,0.982,0.9545555555555555,0.027444444444444493,False,0.6065306663513184,0.3047217726707458,0.5024012627487544,False,
R345,3,0.012,0.0,0.012,False,0.6065306663513184,0.311903178691864,0.5142413994797117,False,
R345,4,0.0,0.0,0.0,False,0.6065306663513184,0.3185209333896637,0.5251522322948269,False,
R345,5,0.0,0.0,0.0,False,0.6065306663513184,0.2995796799659729,0.49392338522327667,False,
R12,0,0.0,0.0,0.0,False,0.6065306663513184,0.4648579955101013,0.7664212566637867,False,B2_goal+dist
R12,1,0.0,0.0,0.0,False,0.6065306663513184,0.4384196996688843,0.72283187642641,False,B2_goal+dist
R12,2,0.0,0.0,0.0,False,0.6065306663513184,0.4605768322944641,0.7593628118840837,False,B2_goal+dist
