config,seed,success,collision,timeout,nav_time,path_length_ratio,intrusion_steps,intrusion_count,intrusion_rate,mean_sq_accel,min_separation,action_autocorr,mean_speed,displacement_efficiency,net_progress_per_step,nav_time_succ,path_length_ratio_succ,mean_sq_accel_succ,ep_return,n_episodes
R145,0,0.0,0.004,0.996,24.9025,3.094979143266883,0.364,0.37,0.006893333333333334,0.09884379311422711,1.5269589636642404,0.9939554021868634,0.9932558322286654,0.9484334965236144,-0.17663621749004293,,,,-0.5212134550586343,500
R145,1,0.0,0.0,1.0,25.0,3.110555800405157,0.3,0.306,0.003,0.1011616230793525,1.558961142707943,1.0,0.9953778561296501,0.9447109774321321,-0.17774012275394552,,,,-0.5175191031591967,500
R145,2,0.984,0.016,0.0,12.751,1.58816345932033,1.224,1.228,0.028673542764382505,0.5507583418642116,0.5997155235676958,0.9432318843865031,0.9963738156778352,0.6391463584643627,0.15198847228615153,12.883638211382113,1.604768839562222,0.5011508680832878,0.6642541838390753,500
R145,3,0.97,0.032,0.0,13.724,1.7133188073730803,1.0,1.004,0.02191217879327094,0.5376263796095979,0.6595995992146106,0.9699596216775146,0.9986349625323032,0.5946955111321015,0.14110621941362023,13.956701030927835,1.7424343488222547,0.5027867077237859,0.6057463167849928,500
R145,4,0.0,0.0,1.0,25.0,3.1124593682706907,0.25,0.254,0.0025,0.09513048436038833,1.5317092351830102,1.0,0.9959869978466211,0.9466480068292755,-0.17751489132809678,,,,-0.5190787696801126,500
R145,5,0.0,0.0,1.0,25.0,3.1112240529753716,0.23,0.236,0.0023000000000000004,0.09487902304612643,1.541683597497505,1.0,0.9955916969521189,0.9463151612108146,-0.1774952635217045,,,,-0.5179884788235649,500
R234,0,0.0,0.0,1.0,25.0,1.6045800880846428,0.138,0.144,0.00138,1.300120175856427,1.5644708601904722,0.8512961778881845,0.5134656281870857,0.2945012715148456,-0.02778844476312741,,,,0.07735853339641745,500
R234,1,0.0,0.0,1.0,25.0,3.110201082629106,0.17,0.174,0.0017000000000000001,0.36366925176372045,1.6453426305507242,0.5614993205377536,0.995264346441314,0.9806508089255382,-0.24314701554542403,,,,-0.8081624068935715,500
R234,2,0.0,0.0,1.0,25.0,2.9764196710460045,0.172,0.178,0.0017200000000000002,0.4858594648416971,1.5255488382564153,0.9555271384000409,0.9524542947347214,0.4667866443069172,0.04604762425200515,,,,0.41181221301020526,500
R234,3,0.0,0.0,1.0,25.0,2.3240889329742056,0.15,0.156,0.0015,1.7047042325397284,1.4711934789325791,0.8977628018498903,0.7437084585517459,0.3102258327374783,-0.006409084979071997,,,,0.161069822514699,500
R234,4,0.0,0.0,1.0,25.0,2.2249868413055247,0.138,0.142,0.00138,1.3434686191987846,1.4993039507030959,0.9022144865436044,0.711995789217768,0.3895835466237753,0.0016797931559054025,,,,0.1991235942702953,500
R234,5,0.0,0.002,0.998,24.952,2.2791289940602955,0.19,0.196,0.0033399999999999997,0.7733017825991735,1.3458130022252148,0.9005802959590292,0.7305882870182897,0.5423363174481658,0.035298395180012515,,,,0.3697321754339379,500
R235,0,0.962,0.042,0.0,14.4715,1.8005598593855698,1.384,1.39,0.025103700546433048,0.5201379745355922,0.5863830073428918,0.9807697516425201,0.9953186606853408,0.5672748320451932,0.13413373503953924,14.68918918918919,1.8277838980855234,0.5162956846800857,0.42635061063408514,500
R235,1,0.994,0.008,0.0,13.8745,1.7199663506481118,0.922,0.926,0.016275496141572136,0.35540632071930894,0.6502296270466732,0.9925235731195826,0.9913986517806684,0.5949367632735459,0.14279993479008152,13.886317907444669,1.7214616605606698,0.35510661005315236,0.4924254027519428,500
R235,2,0.97,0.038,0.0,16.997,2.1140375456854716,0.744,0.75,0.011864489468561654,0.4281254084121675,0.7300795619956642,0.9926082134541379,0.9949114782264442,0.49231722988166826,0.11613515335092432,17.143298969072166,2.1323514010440277,0.4277859476624352,0.4617899123649315,500
